match_id,season,team1,team2,venue,pitch_type,toss_winner,toss_decision,winner
16,2021,Kolkata Knight Riders,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",pace-friendly,Lucknow Super Giants,field,Lucknow Super Giants
17,2022,Sunrisers Hyderabad,Delhi Capitals,"M. Chinnaswamy Stadium, Bengaluru",batting,Sunrisers Hyderabad,field,Sunrisers Hyderabad
18,2023,Gujarat Titans,Lucknow Super Giants,"PCA Stadium, Mullanpur",batting,Gujarat Titans,field,Gujarat Titans
19,2024,Rajasthan Royals,Mumbai Indians,"MA Chidambaram Stadium, Chennai",spin-friendly,Mumbai Indians,field,Mumbai Indians
20,2025,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",batting,Mumbai Indians,bat,Mumbai Indians
21,2016,Delhi Capitals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Punjab Kings,field,Punjab Kings
22,2017,Lucknow Super Giants,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",pace-friendly,Lucknow Super Giants,field,Chennai Super Kings
23,2018,Lucknow Super Giants,Gujarat Titans,"PCA Stadium, Mullanpur",balanced,Gujarat Titans,bat,Gujarat Titans
24,2019,Mumbai Indians,Delhi Capitals,"PCA Stadium, Mullanpur",balanced,Delhi Capitals,bat,Mumbai Indians
25,2020,Rajasthan Royals,Lucknow Super Giants,"Eden Gardens, Kolkata",batting,Lucknow Super Giants,bat,Rajasthan Royals
26,2021,Royal Challengers Bengaluru,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",pace-friendly,Kolkata Knight Riders,field,Kolkata Knight Riders
27,2022,Gujarat Titans,Royal Challengers Bengaluru,"Ekana Stadium, Lucknow",bowling-friendly,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
28,2023,Chennai Super Kings,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",balanced,Chennai Super Kings,bat,Chennai Super Kings
29,2024,Lucknow Super Giants,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",batting,Lucknow Super Giants,field,Lucknow Super Giants
30,2025,Royal Challengers Bengaluru,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",balanced,Royal Challengers Bengaluru,field,Chennai Super Kings
31,2016,Sunrisers Hyderabad,Gujarat Titans,"Ekana Stadium, Lucknow",bowling-friendly,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
32,2017,Mumbai Indians,Chennai Super Kings,"Ekana Stadium, Lucknow",bowling-friendly,Mumbai Indians,field,Mumbai Indians
33,2018,Gujarat Titans,Sunrisers Hyderabad,"Rajiv Gandhi Intl Stadium, Hyderabad",balanced,Gujarat Titans,bat,Gujarat Titans
34,2019,Kolkata Knight Riders,Gujarat Titans,"Arun Jaitley Stadium, Delhi",pace-friendly,Kolkata Knight Riders,bat,Kolkata Knight Riders
35,2020,Gujarat Titans,Punjab Kings,"Wankhede Stadium, Mumbai",batting,Punjab Kings,bat,Punjab Kings
36,2021,Punjab Kings,Mumbai Indians,"Ekana Stadium, Lucknow",spin-friendly,Punjab Kings,field,Punjab Kings
37,2022,Gujarat Titans,Royal Challengers Bengaluru,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Gujarat Titans,field,Gujarat Titans
38,2023,Lucknow Super Giants,Delhi Capitals,"Wankhede Stadium, Mumbai",pace-friendly,Lucknow Super Giants,bat,Delhi Capitals
39,2024,Delhi Capitals,Gujarat Titans,"Ekana Stadium, Lucknow",bowling-friendly,Delhi Capitals,field,Gujarat Titans
40,2025,Royal Challengers Bengaluru,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",spin-friendly,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
41,2016,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chennai",spin-friendly,Chennai Super Kings,field,Chennai Super Kings
42,2017,Gujarat Titans,Chennai Super Kings,"Ekana Stadium, Lucknow",spin-friendly,Chennai Super Kings,bat,Gujarat Titans
43,2018,Sunrisers Hyderabad,Rajasthan Royals,"Ekana Stadium, Lucknow",bowling-friendly,Sunrisers Hyderabad,field,Sunrisers Hyderabad
44,2019,Gujarat Titans,Chennai Super Kings,"MA Chidambaram Stadium, Chennai",pace-friendly,Gujarat Titans,field,Chennai Super Kings
45,2020,Royal Challengers Bengaluru,Gujarat Titans,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Gujarat Titans,bat,Gujarat Titans
46,2021,Sunrisers Hyderabad,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",balanced,Sunrisers Hyderabad,field,Sunrisers Hyderabad
47,2022,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",pace-friendly,Delhi Capitals,field,Delhi Capitals
48,2023,Kolkata Knight Riders,Mumbai Indians,"M. Chinnaswamy Stadium, Bengaluru",bowling-friendly,Mumbai Indians,field,Mumbai Indians
49,2024,Gujarat Titans,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",pace-friendly,Lucknow Super Giants,field,Lucknow Super Giants
50,2025,Chennai Super Kings,Delhi Capitals,"PCA Stadium, Mullanpur",pace-friendly,Delhi Capitals,field,Chennai Super Kings
51,2016,Punjab Kings,Mumbai Indians,"PCA Stadium, Mullanpur",balanced,Mumbai Indians,field,Mumbai Indians
52,2017,Delhi Capitals,Sunrisers Hyderabad,"Rajiv Gandhi Intl Stadium, Hyderabad",batting,Delhi Capitals,field,Sunrisers Hyderabad
53,2018,Lucknow Super Giants,Mumbai Indians,"PCA Stadium, Mullanpur",balanced,Lucknow Super Giants,field,Mumbai Indians
54,2019,Punjab Kings,Delhi Capitals,"M. Chinnaswamy Stadium, Bengaluru",spin-friendly,Delhi Capitals,bat,Punjab Kings
55,2020,Sunrisers Hyderabad,Mumbai Indians,"Ekana Stadium, Lucknow",bowling-friendly,Mumbai Indians,bat,Mumbai Indians
56,2021,Punjab Kings,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",balanced,Punjab Kings,bat,Punjab Kings
57,2022,Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai",batting,Mumbai Indians,field,Mumbai Indians
58,2023,Mumbai Indians,Kolkata Knight Riders,"Ekana Stadium, Lucknow",balanced,Kolkata Knight Riders,bat,Mumbai Indians
59,2024,Lucknow Super Giants,Mumbai Indians,"PCA Stadium, Mullanpur",balanced,Mumbai Indians,field,Mumbai Indians
60,2025,Lucknow Super Giants,Chennai Super Kings,"Eden Gardens, Kolkata",balanced,Lucknow Super Giants,field,Lucknow Super Giants
61,2016,Lucknow Super Giants,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",balanced,Kolkata Knight Riders,bat,Lucknow Super Giants
62,2017,Sunrisers Hyderabad,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",balanced,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
63,2018,Lucknow Super Giants,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Lucknow Super Giants,bat,Chennai Super Kings
64,2019,Lucknow Super Giants,Chennai Super Kings,"M. Chinnaswamy Stadium, Bengaluru",batting,Chennai Super Kings,field,Chennai Super Kings
65,2020,Sunrisers Hyderabad,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",balanced,Sunrisers Hyderabad,bat,Rajasthan Royals
66,2021,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chennai",spin-friendly,Punjab Kings,field,Mumbai Indians
67,2022,Chennai Super Kings,Sunrisers Hyderabad,"Ekana Stadium, Lucknow",bowling-friendly,Sunrisers Hyderabad,field,Sunrisers Hyderabad
68,2023,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",pace-friendly,Chennai Super Kings,bat,Chennai Super Kings
69,2024,Sunrisers Hyderabad,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Sunrisers Hyderabad,field,Delhi Capitals
70,2025,Mumbai Indians,Punjab Kings,"M. Chinnaswamy Stadium, Bengaluru",pace-friendly,Mumbai Indians,field,Mumbai Indians
71,2016,Lucknow Super Giants,Mumbai Indians,"Ekana Stadium, Lucknow",bowling-friendly,Lucknow Super Giants,bat,Mumbai Indians
72,2017,Kolkata Knight Riders,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",pace-friendly,Rajasthan Royals,field,Kolkata Knight Riders
73,2018,Royal Challengers Bengaluru,Mumbai Indians,"Arun Jaitley Stadium, Delhi",pace-friendly,Royal Challengers Bengaluru,field,Mumbai Indians
74,2019,Delhi Capitals,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Delhi Capitals,field,Rajasthan Royals
75,2020,Punjab Kings,Sunrisers Hyderabad,"Ekana Stadium, Lucknow",spin-friendly,Sunrisers Hyderabad,field,Sunrisers Hyderabad
76,2021,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",bowling-friendly,Sunrisers Hyderabad,bat,Royal Challengers Bengaluru
77,2022,Gujarat Titans,Delhi Capitals,"MA Chidambaram Stadium, Chennai",spin-friendly,Gujarat Titans,bat,Gujarat Titans
78,2023,Chennai Super Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",spin-friendly,Chennai Super Kings,bat,Chennai Super Kings
79,2024,Delhi Capitals,Kolkata Knight Riders,"Ekana Stadium, Lucknow",spin-friendly,Kolkata Knight Riders,bat,Kolkata Knight Riders
80,2025,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Kolkata Knight Riders,field,Rajasthan Royals
81,2016,Mumbai Indians,Delhi Capitals,"Ekana Stadium, Lucknow",bowling-friendly,Delhi Capitals,field,Mumbai Indians
82,2017,Delhi Capitals,Lucknow Super Giants,"Eden Gardens, Kolkata",balanced,Lucknow Super Giants,field,Delhi Capitals
83,2018,Kolkata Knight Riders,Rajasthan Royals,"M. Chinnaswamy Stadium, Bengaluru",batting,Rajasthan Royals,bat,Kolkata Knight Riders
84,2019,Gujarat Titans,Punjab Kings,"Arun Jaitley Stadium, Delhi",pace-friendly,Gujarat Titans,field,Gujarat Titans
85,2020,Royal Challengers Bengaluru,Delhi Capitals,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Delhi Capitals,field,Royal Challengers Bengaluru
86,2021,Lucknow Super Giants,Gujarat Titans,"Arun Jaitley Stadium, Delhi",pace-friendly,Gujarat Titans,field,Gujarat Titans
87,2022,Gujarat Titans,Mumbai Indians,"Eden Gardens, Kolkata",balanced,Mumbai Indians,bat,Mumbai Indians
88,2023,Delhi Capitals,Rajasthan Royals,"Eden Gardens, Kolkata",balanced,Delhi Capitals,bat,Rajasthan Royals
89,2024,Delhi Capitals,Rajasthan Royals,"Eden Gardens, Kolkata",balanced,Rajasthan Royals,bat,Rajasthan Royals
90,2025,Chennai Super Kings,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",balanced,Sunrisers Hyderabad,field,Chennai Super Kings
91,2016,Royal Challengers Bengaluru,Lucknow Super Giants,"Rajiv Gandhi Intl Stadium, Hyderabad",batting,Royal Challengers Bengaluru,field,Lucknow Super Giants
92,2017,Rajasthan Royals,Gujarat Titans,"Ekana Stadium, Lucknow",batting,Rajasthan Royals,field,Rajasthan Royals
93,2018,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",balanced,Delhi Capitals,field,Sunrisers Hyderabad
94,2019,Chennai Super Kings,Punjab Kings,"PCA Stadium, Mullanpur",bowling-friendly,Punjab Kings,field,Chennai Super Kings
95,2020,Chennai Super Kings,Gujarat Titans,"Wankhede Stadium, Mumbai",batting,Gujarat Titans,field,Gujarat Titans
96,2021,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",balanced,Rajasthan Royals,field,Rajasthan Royals
97,2022,Punjab Kings,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Gujarat Titans,field,Punjab Kings
98,2023,Kolkata Knight Riders,Delhi Capitals,"PCA Stadium, Mullanpur",bowling-friendly,Delhi Capitals,field,Kolkata Knight Riders
99,2024,Royal Challengers Bengaluru,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",balanced,Royal Challengers Bengaluru,bat,Punjab Kings
100,2025,Delhi Capitals,Lucknow Super Giants,"M. Chinnaswamy Stadium, Bengaluru",batting,Lucknow Super Giants,field,Lucknow Super Giants
101,2016,Mumbai Indians,Delhi Capitals,"M. Chinnaswamy Stadium, Bengaluru",batting,Mumbai Indians,field,Mumbai Indians
102,2017,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",pace-friendly,Delhi Capitals,field,Delhi Capitals
103,2018,Kolkata Knight Riders,Punjab Kings,"Ekana Stadium, Lucknow",bowling-friendly,Kolkata Knight Riders,bat,Kolkata Knight Riders
104,2019,Royal Challengers Bengaluru,Lucknow Super Giants,"M. Chinnaswamy Stadium, Bengaluru",batting,Lucknow Super Giants,bat,Royal Challengers Bengaluru
105,2020,Lucknow Super Giants,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",balanced,Lucknow Super Giants,field,Mumbai Indians
106,2021,Gujarat Titans,Punjab Kings,"Ekana Stadium, Lucknow",bowling-friendly,Punjab Kings,field,Punjab Kings
107,2022,Mumbai Indians,Delhi Capitals,"PCA Stadium, Mullanpur",balanced,Mumbai Indians,field,Mumbai Indians
108,2023,Mumbai Indians,Punjab Kings,"Ekana Stadium, Lucknow",bowling-friendly,Punjab Kings,bat,Mumbai Indians
109,2024,Delhi Capitals,Gujarat Titans,"PCA Stadium, Mullanpur",balanced,Delhi Capitals,bat,Delhi Capitals
110,2025,Chennai Super Kings,Gujarat Titans,"Arun Jaitley Stadium, Delhi",pace-friendly,Chennai Super Kings,field,Chennai Super Kings
111,2016,Mumbai Indians,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",balanced,Mumbai Indians,field,Mumbai Indians
112,2017,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",pace-friendly,Punjab Kings,bat,Punjab Kings
113,2018,Rajasthan Royals,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bengaluru",batting,Rajasthan Royals,bat,Sunrisers Hyderabad
114,2019,Mumbai Indians,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Mumbai Indians,field,Mumbai Indians
115,2020,Chennai Super Kings,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",batting,Chennai Super Kings,field,Sunrisers Hyderabad
116,2021,Delhi Capitals,Royal Challengers Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",batting,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
117,2022,Lucknow Super Giants,Royal Challengers Bengaluru,"Ekana Stadium, Lucknow",bowling-friendly,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
118,2023,Mumbai Indians,Punjab Kings,"PCA Stadium, Mullanpur",balanced,Punjab Kings,bat,Mumbai Indians
119,2024,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chennai",spin-friendly,Sunrisers Hyderabad,bat,Chennai Super Kings
120,2025,Chennai Super Kings,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",bowling-friendly,Chennai Super Kings,bat,Kolkata Knight Riders
121,2016,Chennai Super Kings,Punjab Kings,"Rajiv Gandhi Intl Stadium, Hyderabad",spin-friendly,Chennai Super Kings,bat,Chennai Super Kings
122,2017,Kolkata Knight Riders,Chennai Super Kings,"PCA Stadium, Mullanpur",balanced,Kolkata Knight Riders,field,Kolkata Knight Riders
123,2018,Delhi Capitals,Lucknow Super Giants,"Wankhede Stadium, Mumbai",batting,Delhi Capitals,field,Lucknow Super Giants
124,2019,Mumbai Indians,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",balanced,Royal Challengers Bengaluru,field,Mumbai Indians
125,2020,Punjab Kings,Lucknow Super Giants,"Rajiv Gandhi Intl Stadium, Hyderabad",spin-friendly,Lucknow Super Giants,field,Punjab Kings
126,2021,Gujarat Titans,Chennai Super Kings,"Eden Gardens, Kolkata",balanced,Chennai Super Kings,bat,Gujarat Titans
127,2022,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",bowling-friendly,Rajasthan Royals,bat,Mumbai Indians
128,2023,Sunrisers Hyderabad,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",balanced,Sunrisers Hyderabad,field,Lucknow Super Giants
129,2024,Delhi Capitals,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",batting,Lucknow Super Giants,field,Delhi Capitals
130,2025,Sunrisers Hyderabad,Delhi Capitals,"Arun Jaitley Stadium, Delhi",batting,Delhi Capitals,field,Sunrisers Hyderabad
131,2016,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",balanced,Kolkata Knight Riders,field,Kolkata Knight Riders
132,2017,Lucknow Super Giants,Delhi Capitals,"Wankhede Stadium, Mumbai",batting,Lucknow Super Giants,bat,Delhi Capitals
133,2018,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",spin-friendly,Kolkata Knight Riders,bat,Kolkata Knight Riders
134,2019,Royal Challengers Bengaluru,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru",batting,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
135,2020,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chennai",spin-friendly,Delhi Capitals,field,Chennai Super Kings
136,2021,Royal Challengers Bengaluru,Mumbai Indians,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Mumbai Indians,field,Mumbai Indians
137,2022,Chennai Super Kings,Punjab Kings,"Wankhede Stadium, Mumbai",batting,Chennai Super Kings,bat,Chennai Super Kings
138,2023,Delhi Capitals,Lucknow Super Giants,"PCA Stadium, Mullanpur",balanced,Delhi Capitals,bat,Lucknow Super Giants
139,2024,Delhi Capitals,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bengaluru",batting,Sunrisers Hyderabad,field,Delhi Capitals
140,2025,Kolkata Knight Riders,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",batting,Rajasthan Royals,bat,Kolkata Knight Riders
141,2016,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chennai",spin-friendly,Rajasthan Royals,field,Chennai Super Kings
142,2017,Rajasthan Royals,Kolkata Knight Riders,"PCA Stadium, Mullanpur",balanced,Rajasthan Royals,bat,Kolkata Knight Riders
143,2018,Royal Challengers Bengaluru,Chennai Super Kings,"Eden Gardens, Kolkata",balanced,Chennai Super Kings,field,Chennai Super Kings
144,2019,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",batting,Mumbai Indians,field,Mumbai Indians
145,2020,Royal Challengers Bengaluru,Gujarat Titans,"M. Chinnaswamy Stadium, Bengaluru",batting,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
146,2021,Chennai Super Kings,Mumbai Indians,"Ekana Stadium, Lucknow",bowling-friendly,Chennai Super Kings,bat,Mumbai Indians
147,2022,Lucknow Super Giants,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",pace-friendly,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
148,2023,Gujarat Titans,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",pace-friendly,Chennai Super Kings,bat,Chennai Super Kings
149,2024,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Rajiv Gandhi Intl Stadium, Hyderabad",batting,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
150,2025,Delhi Capitals,Royal Challengers Bengaluru,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
151,2016,Delhi Capitals,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Delhi Capitals,field,Rajasthan Royals
152,2017,Delhi Capitals,Chennai Super Kings,"Ekana Stadium, Lucknow",bowling-friendly,Chennai Super Kings,field,Chennai Super Kings
153,2018,Lucknow Super Giants,Royal Challengers Bengaluru,"PCA Stadium, Mullanpur",balanced,Lucknow Super Giants,field,Royal Challengers Bengaluru
154,2019,Kolkata Knight Riders,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",spin-friendly,Royal Challengers Bengaluru,field,Kolkata Knight Riders
155,2020,Lucknow Super Giants,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Lucknow Super Giants,bat,Delhi Capitals
156,2021,Mumbai Indians,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Rajasthan Royals,bat,Rajasthan Royals
157,2022,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Ekana Stadium, Lucknow",bowling-friendly,Royal Challengers Bengaluru,bat,Sunrisers Hyderabad
158,2023,Royal Challengers Bengaluru,Rajasthan Royals,"Ekana Stadium, Lucknow",bowling-friendly,Rajasthan Royals,field,Rajasthan Royals
159,2024,Sunrisers Hyderabad,Delhi Capitals,"Eden Gardens, Kolkata",balanced,Delhi Capitals,field,Delhi Capitals
160,2025,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",balanced,Chennai Super Kings,field,Chennai Super Kings
161,2016,Royal Challengers Bengaluru,Kolkata Knight Riders,"PCA Stadium, Mullanpur",balanced,Royal Challengers Bengaluru,bat,Kolkata Knight Riders
162,2017,Punjab Kings,Lucknow Super Giants,"Eden Gardens, Kolkata",balanced,Punjab Kings,field,Lucknow Super Giants
163,2018,Lucknow Super Giants,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Lucknow Super Giants,bat,Rajasthan Royals
164,2019,Delhi Capitals,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru",bowling-friendly,Kolkata Knight Riders,bat,Kolkata Knight Riders
165,2020,Sunrisers Hyderabad,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",balanced,Delhi Capitals,bat,Delhi Capitals
166,2021,Royal Challengers Bengaluru,Rajasthan Royals,"Ekana Stadium, Lucknow",bowling-friendly,Royal Challengers Bengaluru,field,Rajasthan Royals
167,2022,Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai",bowling-friendly,Punjab Kings,field,Chennai Super Kings
168,2023,Rajasthan Royals,Gujarat Titans,"Wankhede Stadium, Mumbai",batting,Gujarat Titans,field,Gujarat Titans
169,2024,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chennai",spin-friendly,Chennai Super Kings,bat,Chennai Super Kings
170,2025,Kolkata Knight Riders,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi",pace-friendly,Kolkata Knight Riders,field,Royal Challengers Bengaluru
171,2016,Chennai Super Kings,Rajasthan Royals,"Ekana Stadium, Lucknow",bowling-friendly,Rajasthan Royals,bat,Chennai Super Kings
172,2017,Delhi Capitals,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",balanced,Mumbai Indians,bat,Mumbai Indians
173,2018,Royal Challengers Bengaluru,Sunrisers Hyderabad,"PCA Stadium, Mullanpur",balanced,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
174,2019,Kolkata Knight Riders,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",balanced,Kolkata Knight Riders,field,Rajasthan Royals
175,2020,Mumbai Indians,Delhi Capitals,"MA Chidambaram Stadium, Chennai",spin-friendly,Mumbai Indians,field,Mumbai Indians
176,2021,Mumbai Indians,Punjab Kings,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Mumbai Indians,bat,Mumbai Indians
177,2022,Lucknow Super Giants,Kolkata Knight Riders,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Lucknow Super Giants,bat,Lucknow Super Giants
178,2023,Rajasthan Royals,Lucknow Super Giants,"Wankhede Stadium, Mumbai",batting,Rajasthan Royals,field,Lucknow Super Giants
179,2024,Delhi Capitals,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",pace-friendly,Delhi Capitals,field,Lucknow Super Giants
180,2025,Chennai Super Kings,Punjab Kings,"PCA Stadium, Mullanpur",bowling-friendly,Punjab Kings,bat,Chennai Super Kings
181,2016,Kolkata Knight Riders,Delhi Capitals,"M. Chinnaswamy Stadium, Bengaluru",batting,Kolkata Knight Riders,field,Kolkata Knight Riders
182,2017,Sunrisers Hyderabad,Rajasthan Royals,"Wankhede Stadium, Mumbai",batting,Rajasthan Royals,field,Sunrisers Hyderabad
183,2018,Chennai Super Kings,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru",pace-friendly,Kolkata Knight Riders,bat,Chennai Super Kings
184,2019,Sunrisers Hyderabad,Delhi Capitals,"Ekana Stadium, Lucknow",bowling-friendly,Sunrisers Hyderabad,field,Delhi Capitals
185,2020,Chennai Super Kings,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",balanced,Chennai Super Kings,field,Chennai Super Kings
186,2021,Gujarat Titans,Punjab Kings,"Eden Gardens, Kolkata",balanced,Gujarat Titans,field,Gujarat Titans
187,2022,Delhi Capitals,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",balanced,Chennai Super Kings,bat,Chennai Super Kings
188,2023,Delhi Capitals,Chennai Super Kings,"Wankhede Stadium, Mumbai",balanced,Delhi Capitals,field,Delhi Capitals
